epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6628,1.54313,11.7334,0.7061,2.71679,2.20829,0.08036,0.26471,0.06337,0.04888,0,0,0,0,2.69506,11.975,0.69041,52.4074,3.88703,0.0003,0.0003,0.0003
2,47.3616,0.64989,11.4781,0.68111,0.65535,1.38713,0.1,0.20588,0.03185,0.00967,0,0,0,0,nan,nan,nan,nan,nan,0.000618772,0.000618772,0.000618772
3,74.8554,0.79588,11.1711,0.63739,0.70696,1.56092,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000936278,0.000936278,0.000936278
4,97.5738,0.86869,10.9802,0.61421,0.70195,1.58708,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00125252,0.00125252,0.00125252
5,119.687,0.86107,10.8024,0.59673,0.64009,1.67416,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00156749,0.00156749,0.00156749
6,142.511,0.75911,10.483,0.59476,0.64288,1.5514,0,0,0,0,0,0,0,0,nan,12,1398.88,nan,nan,0.00188119,0.00188119,0.00188119
7,165.755,0.77634,10.4392,0.59347,0.59697,1.56081,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00197624,0.00197624,0.00197624
8,188.777,0.70962,10.1439,0.58894,0.59469,1.49256,0,0,0,0,0,0,0,0,3.87065,11.5688,0.86592,1204.99,115.729,0.00197228,0.00197228,0.00197228
9,211.77,0.6375,9.89316,0.58794,0.53356,1.38712,0.175,0.20588,0.1078,0.01626,0,0,0,0,nan,nan,nan,nan,nan,0.00196832,0.00196832,0.00196832
10,237.212,0.54884,9.60315,0.58422,0.45804,1.29442,0.03282,0.5,0.0259,0.00791,0,0,0,0,3.54179,11.7542,7.41098,inf,88.8089,0.00196436,0.00196436,0.00196436
11,261.46,0.5844,9.41511,0.58378,0.46456,1.32837,0.15323,0.55882,0.22504,0.07471,0,0,0,0,2.84766,11.3838,0.50484,3.4664,4.23518,0.0019604,0.0019604,0.0019604
12,292.749,0.55513,9.40704,0.58053,0.50299,1.30658,0.48566,0.64706,0.49915,0.36049,0,0,0,0,1.49899,10.9977,0.48548,1.42132,2.61541,0.00195644,0.00195644,0.00195644
13,321.491,0.46893,8.92595,0.57427,0.43667,1.22012,0.99107,0.97059,0.97576,0.92013,0,0,0,0,0.49623,11.7781,0.50518,0.9443,0.97649,0.00195248,0.00195248,0.00195248
14,346.983,0.46627,8.68289,0.57189,0.40465,1.20436,1,0.96638,0.97705,0.85732,0,0,0,0,0.65108,11.7383,0.52209,0.86793,1.19459,0.00194852,0.00194852,0.00194852
15,375.118,0.45633,8.58828,0.55553,0.42709,1.20356,1,0.90961,0.97382,0.82184,0,0,0,0,0.60308,11.843,0.55334,0.66652,1.16008,0.00194456,0.00194456,0.00194456
16,398.416,0.47689,8.43486,0.5527,0.39597,1.24766,0.65028,0.88235,0.89154,0.72134,0,0,0,0,0.71374,11.5956,0.47674,1.30185,1.30577,0.0019406,0.0019406,0.0019406
17,426.247,0.4688,7.87695,0.53566,0.39843,1.20272,0.98947,0.97059,0.98917,0.85305,0,0,0,0,0.57282,10.6067,0.4376,0.55972,0.95038,0.00193664,0.00193664,0.00193664
18,450.031,0.43079,7.93208,0.52967,0.39273,1.19269,0.98945,0.97059,0.99338,0.8672,0,0,0,0,0.46816,10.9459,0.39589,0.63563,0.803,0.00193268,0.00193268,0.00193268
19,473.516,0.47331,7.63874,0.51014,0.3812,1.18651,0.9096,0.97059,0.97572,0.87058,0.00725,0.02941,0.00373,0.00075,0.55564,10.738,0.38947,1.22247,0.90202,0.00192872,0.00192872,0.00192872
