epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6658,1.48703,2.85342,1.05449,0.02291,0.27197,0.12612,0.05421,1.34059,3.53474,0.96444,0.000408333,0.000408333,0.000408333
2,45.6045,1.35864,1.58867,1.01179,0.97281,0.14741,0.22444,0.127,1.41214,2.23967,1.05638,0.000808665,0.000808665,0.000808665
3,68.6604,1.2896,1.42402,0.98545,0.78298,0.25903,0.26077,0.16713,1.20726,1.41619,1.00465,0.0011925,0.0011925,0.0011925
4,90.3603,1.32465,1.41419,0.97839,0.5038,0.25118,0.26152,0.15382,1.29122,1.20946,0.98762,0.00117575,0.00117575,0.00117575
5,112.155,1.29624,1.32733,0.96853,0.85056,0.26374,0.29048,0.18454,1.13441,1.13591,0.95437,0.001151,0.001151,0.001151
6,132.773,1.21121,1.25043,0.94556,0.83891,0.28793,0.29365,0.19877,1.07377,1.05491,0.93751,0.00112625,0.00112625,0.00112625
7,154.119,1.19352,1.19262,0.93914,0.85772,0.30092,0.35984,0.21192,1.1021,1.03821,0.94215,0.0011015,0.0011015,0.0011015
8,175.147,1.21534,1.17885,0.94131,0.55281,0.32853,0.38381,0.22873,1.08435,1.00298,0.9493,0.00107675,0.00107675,0.00107675
9,197.36,1.15406,1.13637,0.93464,0.58912,0.33891,0.41565,0.25387,1.0556,0.95299,0.93913,0.001052,0.001052,0.001052
10,219.296,1.14544,1.08808,0.92655,0.58486,0.37387,0.45146,0.28087,1.03312,0.90682,0.92962,0.00102725,0.00102725,0.00102725
11,239.866,1.09477,1.04041,0.91865,0.52125,0.44167,0.46295,0.28742,1.01831,0.87272,0.92331,0.0010025,0.0010025,0.0010025
12,261.919,1.06451,1.00934,0.91265,0.55769,0.57135,0.49093,0.30509,1.05441,0.85078,0.92678,0.00097775,0.00097775,0.00097775
13,282.134,1.07692,0.96271,0.90873,0.74383,0.57157,0.63688,0.38843,1.04405,0.78644,0.93733,0.000953,0.000953,0.000953
14,304.03,1.05404,0.90902,0.9108,0.74954,0.61701,0.65064,0.40414,1.0095,0.76213,0.92611,0.00092825,0.00092825,0.00092825
15,327.427,1.08131,0.89285,0.90852,0.77074,0.65049,0.68147,0.40935,1.01011,0.72436,0.91698,0.0009035,0.0009035,0.0009035
16,348.354,1.04983,0.84396,0.89558,0.78976,0.71844,0.73421,0.46201,0.98665,0.68842,0.9127,0.00087875,0.00087875,0.00087875
17,368.396,1.08661,0.83378,0.90826,0.79082,0.66823,0.73301,0.47086,1.0262,0.69904,0.92129,0.000854,0.000854,0.000854
18,390.346,1.06368,0.81928,0.90411,0.84845,0.66566,0.72279,0.44095,1.03441,0.69522,0.92333,0.00082925,0.00082925,0.00082925
19,410.753,1.07486,0.81456,0.89972,0.83306,0.74896,0.77825,0.49753,0.97229,0.66156,0.90395,0.0008045,0.0008045,0.0008045
20,432.406,1.06322,0.79974,0.90057,0.89212,0.73297,0.80289,0.51318,0.97205,0.64107,0.90348,0.00077975,0.00077975,0.00077975
21,454.265,1.02484,0.76566,0.89785,0.86302,0.74381,0.81613,0.53166,0.96307,0.61309,0.9048,0.000755,0.000755,0.000755
22,475.84,1.0088,0.72357,0.88685,0.8611,0.70746,0.75177,0.49821,0.95528,0.63065,0.90629,0.00073025,0.00073025,0.00073025
23,497.034,0.98894,0.71519,0.88378,0.83638,0.69321,0.77194,0.5,0.95384,0.63587,0.90334,0.0007055,0.0007055,0.0007055
24,519.054,1.02013,0.72266,0.88835,0.8649,0.72411,0.78511,0.51408,0.97534,0.61523,0.90319,0.00068075,0.00068075,0.00068075
25,539.003,1.00391,0.71062,0.8834,0.78174,0.7368,0.7954,0.51806,0.93511,0.60578,0.89606,0.000656,0.000656,0.000656
26,560.781,0.9857,0.69704,0.88828,0.85188,0.7575,0.79781,0.52333,0.94825,0.59689,0.89847,0.00063125,0.00063125,0.00063125
27,582.859,0.99259,0.68831,0.88709,0.85773,0.7651,0.82451,0.53441,0.94538,0.58933,0.8998,0.0006065,0.0006065,0.0006065
28,605.305,1.01429,0.69068,0.88731,0.82231,0.76998,0.82458,0.53874,0.96411,0.59444,0.90456,0.00058175,0.00058175,0.00058175
29,625.901,0.99597,0.67316,0.8834,0.87691,0.76655,0.82957,0.54998,0.93344,0.58277,0.90099,0.000557,0.000557,0.000557
30,648.035,0.98381,0.66416,0.88429,0.8808,0.76515,0.81266,0.54827,0.93905,0.58495,0.90273,0.00053225,0.00053225,0.00053225
31,669.04,0.97516,0.65184,0.87826,0.78504,0.79995,0.81919,0.54729,0.9532,0.5871,0.90459,0.0005075,0.0005075,0.0005075
32,691.1,0.96576,0.64718,0.88611,0.93516,0.72881,0.82511,0.54628,0.9376,0.58474,0.89989,0.00048275,0.00048275,0.00048275
33,711.77,0.97018,0.65235,0.87978,0.88165,0.75158,0.82586,0.54476,0.93805,0.56817,0.89633,0.000458,0.000458,0.000458
34,735.443,0.96495,0.64202,0.87805,0.88498,0.74742,0.82768,0.55135,0.93989,0.56357,0.89901,0.00043325,0.00043325,0.00043325
35,756.127,0.96889,0.63149,0.88079,0.82794,0.79533,0.82732,0.53695,0.95342,0.55827,0.89932,0.0004085,0.0004085,0.0004085
36,778.235,0.9746,0.63502,0.88063,0.81623,0.78606,0.82216,0.54383,0.93234,0.55809,0.89806,0.00038375,0.00038375,0.00038375
37,799.306,0.96726,0.62484,0.87566,0.84178,0.77725,0.81469,0.54987,0.93576,0.54341,0.89604,0.000359,0.000359,0.000359
38,821.574,0.96076,0.61334,0.87286,0.85346,0.78541,0.83048,0.54739,0.92409,0.54249,0.89416,0.00033425,0.00033425,0.00033425
39,842.254,0.96319,0.61589,0.87482,0.85037,0.78431,0.81985,0.55172,0.91674,0.54128,0.89313,0.0003095,0.0003095,0.0003095
40,866.046,0.93928,0.60925,0.87327,0.88846,0.74597,0.81332,0.53723,0.9318,0.56577,0.89555,0.00028475,0.00028475,0.00028475
41,887.847,0.93489,0.60841,0.87694,0.88013,0.78917,0.82102,0.55382,0.91761,0.55192,0.89451,0.00026,0.00026,0.00026
42,909.194,0.91386,0.59411,0.88047,0.88562,0.77365,0.82237,0.55405,0.928,0.55477,0.89667,0.00023525,0.00023525,0.00023525
43,928.71,0.91055,0.58653,0.877,0.88473,0.77824,0.82865,0.56054,0.91759,0.54257,0.89598,0.0002105,0.0002105,0.0002105
44,948.827,0.90431,0.57994,0.87701,0.8701,0.78365,0.82423,0.55467,0.91008,0.53401,0.89218,0.00018575,0.00018575,0.00018575
45,969.865,0.89206,0.57035,0.87447,0.88917,0.78802,0.82283,0.55043,0.91151,0.53275,0.89176,0.000161,0.000161,0.000161
46,990.346,0.88304,0.56655,0.87205,0.91231,0.78509,0.82002,0.56092,0.90651,0.53247,0.89156,0.00013625,0.00013625,0.00013625
47,1010.57,0.89145,0.56444,0.87487,0.90988,0.78746,0.8286,0.56435,0.90086,0.53276,0.89093,0.0001115,0.0001115,0.0001115
48,1030.19,0.88775,0.56107,0.87148,0.89084,0.78384,0.82045,0.56324,0.90424,0.52513,0.89136,8.675e-05,8.675e-05,8.675e-05
49,1048.69,0.8896,0.56199,0.87148,0.8963,0.7855,0.83274,0.5665,0.90505,0.51491,0.88941,6.2e-05,6.2e-05,6.2e-05
